,0
0,Alaska
1,Arizona
2,Colorado
3,Connecticut
4,Delaware
5,Hawaii
6,Idaho
7,Illinois
8,Iowa
9,Maine
10,Maryland
11,Massachusetts
12,Mississippi
13,Missouri
14,Montana
15,Nebraska
16,New Jersey
17,North Carolina
18,North Dakota
19,Oklahoma
20,Oregon
21,Pennsylvania
22,Rhode Island
23,South Carolina
24,South Dakota
25,Utah
26,Vermont
27,Virginia
28,West Virginia
29,Wisconsin
30,Wyoming
